magnetometer_timestamp	magnetometer_x_data	magnetometer_y_data	magnetometer_z_data
1442741529478558536	-20.652771	7.9452515	51.16577
1442741529498089786	-20.820618	9.463501	51.986694
1442741529513714786	-22.669983	9.295654	51.16577
1442741529529339786	-23.510742	8.7890625	51.65863
1442741529544964786	-23.342896	9.295654	51.493835
1442741529564496036	-24.183655	12.501526	51.002502
1442741529580121036	-23.847961	12.838745	49.362183
1442741529595746036	-25.19226	13.175964	50.01831
1442741529615277286	-25.52948	12.501526	50.346375
1442741529630902286	-26.200867	12.164307	50.346375
1442741529654339786	-25.865173	13.851929	49.362183
1442741529666058536	-24.183655	12.501526	50.01831
1442741529681683536	-26.200867	13.851929	50.01831
1442741529697308536	-26.538086	12.838745	50.67444
1442741529716839786	-25.52948	11.827087	49.690247
1442741529732464786	-26.03302	11.994934	51.8219
1442741529748089786	-24.015808	10.307312	51.8219
1442741529763714786	-22.33429	9.632874	55.104065
1442741529783246036	-20.483398	6.764221	58.5495
1442741529798871036	-19.979858	6.5948486	59.69696
1442741529814496036	-19.474792	4.400635	62.486267
1442741529834027286	-17.96112	4.9072266	64.29138
1442741529849652286	-16.952515	3.5583496	64.29138
1442741529865277286	-17.120361	3.0517578	66.752625
1442741529880902286	-16.616821	2.2079468	67.57202
1442741529896527286	-15.103149	2.3757935	67.73682
1442741529916058536	-14.26239	2.2079468	66.58783
1442741529931683536	-11.0672	0.6881714	67.40875
1442741529947308536	-10.899353	1.1947632	68.88428
1442741529966839786	-10.899353	0.85754395	67.24396
1442741529982464786	-8.207703	0.18310547	67.24396
1442741530001996036	-9.216309	1.5319824	67.24396
1442741530017621036	-8.712769	0.6881714	66.752625
1442741530033246036	-9.889221	1.8707275	65.9317
1442741530048871036	-8.880615	0.5203247	62.651062
1442741530068402286	-9.048462	0.6881714	64.45465
1442741530087933536	-10.562134	0.5203247	62.322998
1442741530099652286	-11.0672	1.701355	61.502075
1442741530119183536	-12.748718	2.0385742	59.861755
1442741530134808536	-12.916565	3.2196045	61.994934
1442741530150433536	-15.103149	3.0517578	60.845947
1442741530169964786	-16.616821	2.545166	59.040833
1442741530185589786	-15.103149	1.701355	60.845947
1442741530201214786	-14.5980835	1.5319824	61.338806
1442741530220746036	-13.589478	2.545166	62.322998
1442741530236371036	-14.76593	2.3757935	60.517883
1442741530251996036	-16.447449	2.3757935	60.845947
1442741530267621036	-15.103149	2.3757935	59.861755
1442741530287152286	-17.45758	2.0385742	59.53369
1442741530302777286	-16.447449	3.7261963	58.877563
1442741530318402286	-17.96112	6.2576294	59.368896
1442741530341839786	-19.1391	6.088257	56.57959
1442741530353558536	-19.1391	6.427002	55.923462
1442741530369183536	-20.483398	6.088257	52.642822
1442741530384808536	-19.64264	6.932068	52.478027
1442741530400433536	-19.979858	6.932068	51.8219
1442741530419964786	-19.979858	7.608032	50.509644
1442741530439496036	-21.156311	8.451843	51.986694
1442741530451214786	-20.652771	8.61969	51.493835
1442741530470746036	-20.988464	8.61969	51.8219
1442741530490277286	-22.669983	7.608032	51.8219
1442741530505902286	-20.147705	8.113098	51.65863
1442741530521527286	-20.820618	9.126282	49.690247
1442741530537152286	-21.829224	9.80072	50.67444
1442741530552777286	-21.99707	9.632874	51.16577
1442741530572308536	-22.33429	11.657715	50.837708
1442741530587933536	-21.99707	9.632874	51.493835
1442741530607464786	-23.342896	9.632874	50.18158
1442741530623089786	-23.510742	10.476685	49.690247
1442741530638714786	-24.351501	12.669373	49.52545
1442741530654339786	-24.68872	12.332153	49.197388
1442741530669964786	-25.024414	13.345337	48.869324
1442741530693402286	-25.360107	13.682556	48.869324
1442741530705121036	-25.19226	13.851929	49.362183
1442741530720746036	-26.03302	14.356995	49.52545
1442741530740277286	-25.697327	12.669373	50.18158
1442741530755902286	-25.865173	13.175964	51.330566
1442741530771527286	-23.175049	12.164307	50.346375
1442741530791058536	-24.68872	10.644531	52.149963
1442741530806683536	-23.510742	9.126282	54.283142
1442741530822308536	-22.164917	7.775879	55.267334
1442741530841839786	-20.820618	6.088257	60.845947
1442741530853558536	-18.466187	5.4138184	60.18982
1442741530873089786	-17.793274	5.076599	62.486267
1442741530888714786	-17.96112	4.232788	64.29138
1442741530904339786	-18.466187	4.0634155	65.76843
1442741530923871036	-16.447449	2.7145386	64.782715
1442741530939496036	-15.270996	1.8707275	66.91589
1442741530959027286	-14.26239	1.8707275	66.91589
1442741530974652286	-12.580872	0.5203247	67.24396
1442741530990277286	-12.243652	0.5203247	68.22815
1442741531005902286	-10.899353	0.5203247	66.58783
1442741531025433536	-8.880615	1.5319824	65.9317
1442741531044964786	-8.880615	-0.4928589	65.9317
1442741531056683536	-7.8720093	-0.4928589	64.29138
1442741531076214786	-9.385681	0.6881714	63.47046
1442741531091839786	-10.058594	1.3641357	64.45465
1442741531107464786	-9.216309	-0.15563965	63.30719
1442741531123089786	-9.048462	1.701355	62.158203
1442741531142621036	-10.899353	0.5203247	61.338806
1442741531158246036	-11.402893	1.701355	61.17401
1442741531173871036	-12.580872	1.1947632	60.681152
1442741531193402286	-13.589478	3.5583496	61.010742
1442741531205121036	-15.606689	4.232788	58.384705
1442741531232464786	-14.935303	3.2196045	57.728577
1442741531244183536	-13.757324	1.701355	59.53369
1442741531259808536	-15.270996	2.8823853	58.71277
1442741531275433536	-13.925171	1.1947632	59.368896
1442741531294964786	-14.5980835	1.5319824	60.025024
1442741531310589786	-14.26239	3.5583496	59.040833
1442741531326214786	-14.5980835	3.2196045	58.05664
1442741531345746036	-15.606689	4.232788	58.384705
1442741531357464786	-15.270996	3.5583496	58.384705
1442741531376996036	-17.120361	4.400635	55.923462
1442741531396527286	-17.793274	5.7510376	54.611206
1442741531408246036	-16.784668	7.1014404	53.95508
1442741531427777286	-17.96112	7.270813	53.463745
1442741531443402286	-19.64264	6.5948486	50.509644
1442741531462933536	-20.483398	7.1014404	51.65863
1442741531482464786	-19.64264	7.608032	53.79181
1442741531494183536	-19.306946	7.608032	53.79181
1442741531509808536	-20.820618	7.1014404	54.611206
1442741531529339786	-20.652771	6.932068	52.478027
1442741531544964786	-20.988464	8.282471	53.13568
1442741531560589786	-20.483398	8.7890625	54.611206
1442741531584027286	-20.988464	8.956909	51.493835
1442741531595746036	-22.33429	9.632874	51.8219
1442741531611371036	-21.156311	8.113098	52.642822
1442741531626996036	-22.83783	8.451843	51.330566
1442741531646527286	-22.83783	10.139465	52.31476
1442741531662152286	-23.678589	10.307312	49.853516
1442741531677777286	-23.342896	11.994934	50.18158
1442741531697308536	-24.015808	12.332153	50.18158
1442741531712933536	-24.015808	11.320496	49.52545
1442741531728558536	-25.52948	13.175964	50.346375
1442741531744184118	-27.043152	11.994934	50.509644
1442741531763715368	-25.865173	13.175964	51.330566
1442741531779340368	-26.538086	13.175964	51.330566
1442741531794965368	-25.360107	13.008118	50.18158
1442741531814496618	-25.697327	11.994934	50.837708
1442741531834027868	-23.847961	10.139465	52.642822
1442741531845746618	-24.015808	11.320496	54.119873
1442741531861371618	-23.678589	9.970093	55.104065
1442741531880902868	-21.49353	6.764221	57.565308
1442741531896527868	-20.652771	5.244446	60.35309
1442741531912152868	-19.474792	5.4138184	61.83014
1442741531931684118	-18.466187	5.076599	63.47046
