gyroscope_timestamp	gyroscope_x_data	gyroscope_y_data	gyroscope_z_data
7828495949000	-0.03023783	0.1441642	-0.03359759
7828503609000	0.022907447	0.1441642	-0.02565634
7828514474000	0.2751948	-0.12858713	-0.03176499
7828523354000	-0.20158553	-1.450805	-0.50793445
7828532662000	-0.30390546	0.73975784	-1.0852021
7828544259000	-0.109650314	0.93370754	-1.1640037
7828552682000	-0.13530666	-0.14294247	-1.1545353
7828565835000	-0.12980886	0.0018325958	-1.1545353
7828572579000	-0.12980886	0.0015271631	-1.1435398
7828584817000	-0.12736541	-0.012217305	-1.1291844
7828592599000	-0.12767084	-0.028710667	-1.0873401
7828605782000	-0.15088372	-0.06291912	-1.0351112
7828612588000	-0.19303341	-0.083383106	-0.98471475
7828623238000	-0.25809056	-0.076358154	-0.94806284
7828632607000	-0.35643986	-0.04795292	-0.8863655
7828643227000	-0.43188173	-0.011911872	-0.81245077
7828652657000	-0.4129449	0.01740966	-0.80848014
7828665719000	-0.3213151	-0.03481932	-0.8170323
7828672677000	-0.24770586	-0.27947086	-0.8426886
7828683358000	-0.21624629	-0.6035349	-0.98532563
7828692666000	-0.18509217	-0.8765916	-1.0961977
7828703347000	-0.086437434	-1.0998629	-1.1047498
7828712685000	0.11209377	-1.1863003	-1.0106765
7828724221000	0.38362336	-1.035722	-0.8533788
7828732705000	0.54061574	-0.6585127	-0.6533204
7828743355000	0.90408057	-0.40225476	-0.5348125
7828752724000	1.3652838	0.09865474	-0.2657264
7828765023000	1.8231273	0.09468412	0.03726278
7828772774000	2.0470095	-0.67164636	0.36774087
7828784371000	1.9538525	-1.6374242	0.65026605
7828792763000	1.5491543	-2.3671029	0.8032878
7828803414000	0.7867944	-2.9379563	0.84391034
7828812813000	-0.12767084	-3.2760704	0.81153446
7828824074000	-0.5864306	-3.0140092	0.68569624
7828832802000	-0.042760566	-2.3133466	0.464563
7828845925000	0.6621779	-1.6911805	0.3042109
7828853798000	0.5714644	-0.59528816	0.3494149
7828863534000	0.35185838	1.2492194	0.44715336
7828872841000	0.5314528	2.6401596	0.33108896
7828883523000	0.7296785	2.917187	0.07971791
7828892892000	0.729984	2.5723536	-0.03726278
7828904580000	0.63346726	2.334727	-0.23335053
7828912911000	0.60048056	1.7519615	-0.37384954
7828923623000	0.64812803	1.0983357	-0.42210788
7828932931000	0.6973027	0.67256266	-0.39767328
7828945138000	0.6899723	0.41996986	-0.37507126
7828952920000	0.61178154	0.13958271	-0.3848451
7828966195000	0.5299256	-0.124005646	-0.39614612
7828972970000	0.48441613	-0.24648413	-0.37843102
