rotvec_timestamp	rotvec_x_data	rotvec_y_data	rotvec_z_data
909752504304490	0.17016637	0.16441347	0.54885256
909752512605271	0.17388476	0.15751682	0.5486193
909752520906053	0.1763558	0.15002356	0.5473839
909752529206834	0.17725366	0.1421997	0.5456918
909752537507615	0.17643791	0.13410331	0.5456695
909752545808396	0.17446828	0.12553829	0.54616
909752554109178	0.17172639	0.11708917	0.5483549
909752562409959	0.16912682	0.108709164	0.54965127
909752570710740	0.1671829	0.10091233	0.55052865
909752579011521	0.16646875	0.094257526	0.55072325
909752587312303	0.16729659	0.08889023	0.54917926
909752595613084	0.16963498	0.08466807	0.5461518
909752603913865	0.1730647	0.08145826	0.54259104
909752612214646	0.17714758	0.07917491	0.5388926
909752620515428	0.1815574	0.07795499	0.5357601
909752628816209	0.18590984	0.07765397	0.53282964
909752637116990	0.18975385	0.07847848	0.5314612
909752645417771	0.19327673	0.080045	0.5300312
909752653718553	0.19640665	0.08227204	0.52872664
909752662019334	0.19910128	0.08491835	0.5284757
909752670320115	0.20184766	0.08738431	0.528068
909752678620896	0.20445655	0.08918498	0.5265732
909752686921678	0.2067196	0.090629235	0.52562815
909752695222459	0.20881951	0.091525465	0.52388275
909752703523240	0.21080084	0.09228236	0.52216
909752711824021	0.21274838	0.093229644	0.5207183
909752720124803	0.21514295	0.09442546	0.5179085
909752728425584	0.21793054	0.09603516	0.5153361
909752736726365	0.22114669	0.0978684	0.5121159
909752745027146	0.22444007	0.100249335	0.50987464
909752753327928	0.22792444	0.102655314	0.50719637
909752761628709	0.23094666	0.105567485	0.50605536
909752769929490	0.23369005	0.10874955	0.5054655
909752778230271	0.23630509	0.11188225	0.5047515
909752786531053	0.23885553	0.11527132	0.5055358
909752794831834	0.2414758	0.11855913	0.50610846
909752803132615	0.24449012	0.12158271	0.50714374
909752811433396	0.24777375	0.12444742	0.50937283
909752819734178	0.25134408	0.1264596	0.51139915
909752828034959	0.25459644	0.12753823	0.5128247
909752836335740	0.25713414	0.12791213	0.5147358
909752844636521	0.2593835	0.12729101	0.51592153
909752852937303	0.26119232	0.12592238	0.51698446
909752861238084	0.26262343	0.12406371	0.5179844
909752869538865	0.26416603	0.12162762	0.517742
909752877839646	0.26559982	0.11892293	0.5170575
909752886140428	0.26692632	0.11615505	0.5159543
909752894441209	0.26817727	0.113574974	0.51470894
909752902741990	0.26914385	0.11146926	0.51355386
909752911042771	0.2694277	0.11016114	0.5133037
909752919343553	0.26923326	0.10982114	0.5130916
909752927644334	0.26859683	0.11061422	0.51326954
909752935945115	0.26791537	0.11218727	0.51305944
909752944245896	0.26726568	0.11430168	0.51296985
909752952546678	0.2670716	0.11646681	0.5119518
909752960847459	0.26749668	0.11867282	0.5099171
909752969148240	0.26826668	0.120468415	0.50736034
909752977449021	0.2692025	0.12164565	0.5049635
909752985749803	0.27006775	0.12195427	0.50284135
909752994050584	0.27082783	0.12144347	0.5008273
909753002351365	0.27137226	0.12028155	0.49936867
909753010652146	0.27163172	0.11866918	0.49842948
909753018952928	0.27164713	0.11679155	0.4979655
909753027253709	0.27160588	0.114817224	0.49768862
909753035554490	0.2716647	0.11291802	0.497598
909753043855271	0.27188647	0.11118969	0.4975118
909753052156053	0.27219385	0.10978058	0.49737233
909753060456834	0.2724478	0.10872208	0.49716687
909753068757615	0.2724269	0.107971035	0.4971089
909753077058396	0.27198106	0.10751484	0.49701035
909753085359178	0.27131894	0.10704501	0.49677503
909753093659959	0.2704302	0.10657081	0.4967448
909753101960740	0.26952282	0.10598899	0.4969537
909753110261521	0.26873875	0.10529922	0.49755296
909753118562303	0.2681387	0.104450665	0.4980836
909753126863084	0.2676375	0.103415124	0.49867982
909753135163865	0.26735276	0.10210141	0.498733
909753143464646	0.26732242	0.10066677	0.49855098
909753151765428	0.267682	0.09896334	0.49801973
909753160066209	0.26841	0.09695843	0.49742052
909753168366990	0.26924965	0.09480427	0.4971499
909753176667771	0.2699588	0.092504494	0.49723896
909753184968553	0.27034453	0.09011411	0.4974415
909753193269334	0.2702671	0.08788795	0.4978775
909753201570115	0.26986358	0.086029254	0.49831364
909753209870896	0.2694359	0.0846981	0.49856833
909753218171678	0.26928446	0.084029496	0.49875534
909753226472459	0.2696952	0.08398093	0.49847808
909753234773240	0.27079436	0.084443234	0.4978851
909753243074021	0.27256182	0.08516671	0.49697575
909753251374803	0.2749452	0.08576004	0.49541083
909753259675584	0.27777633	0.08612529	0.4935196
909753267976365	0.28066757	0.08609536	0.49239865
909753276277146	0.28322592	0.08540047	0.49108362
909753284577928	0.2845304	0.084153965	0.49083212
909753292878709	0.28470242	0.08228239	0.4909012
909753301179490	0.28372496	0.08012137	0.49117282
909753309480271	0.2818688	0.07816403	0.49130973
909753317781053	0.279924	0.07706102	0.4914427
909753326081834	0.2784178	0.07672181	0.49128184
909753334382615	0.27745047	0.07693121	0.49079543
909753342683396	0.27698624	0.07741951	0.48990184
909753350984178	0.27696127	0.07790565	0.48922697
909753359284959	0.27785584	0.07803546	0.48797193
909753367585740	0.2794262	0.077610716	0.48683986
909753375886521	0.28180003	0.07609292	0.48740447
909753384187303	0.2841863	0.073672645	0.4883502
909753392488084	0.28606534	0.069913186	0.49126962
909753400788865	0.28698948	0.06571627	0.49435323
909753409089646	0.28709278	0.06148748	0.49717227
909753417390428	0.28631553	0.057813372	0.49917138
909753425691209	0.28418937	0.055812683	0.4994001
909753433991990	0.28096402	0.055440277	0.49833956
