accelerometer_timestamp	accelerometer_x_data	accelerometer_y_data	accelerometer_z_data
1443279556788179944	-0.6251373	10.036835	-3.5328064
1443279556846926282	2.456787	17.08577	1.0254364
1443279556855318616	3.6452026	15.441544	0.72039795
1443279556863710949	4.219101	11.788925	1.2973175
1443279556872103283	3.3477173	9.728287	2.322937
1443279556880495617	1.8866882	7.944626	2.7865448
1443279556888887951	1.0203857	7.0167847	2.0487976
1443279556897280285	0.45570374	6.320221	0.720047
1443279556905672619	-0.030883789	5.810669	-0.64642334
1443279556914064953	-0.39245605	5.626465	-1.3399811
1443279556922457287	-0.6734772	5.939865	-1.518753
1443279556930849621	-0.5869446	6.6141663	-1.4168091
1443279556939241955	-0.19346619	7.6146545	-1.2094727
1443279556947634289	0.34936523	8.393143	-0.8977051
1443279556956026623	0.8467865	9.099701	-0.4597168
1443279556964418957	1.1390381	9.673828	-0.017181396
1443279556972811291	1.280365	9.954178	0.16462708
1443279556981203625	1.5199585	9.725952	-0.11273193
1443279556989595959	1.4479828	9.38237	-0.082733154
1443279556997988293	1.4270477	8.834961	-0.20889282
1443279557006380627	1.4297028	8.41629	-0.3857727
1443279557014772961	1.3027802	8.098694	-0.44664
1443279557023165295	1.1086731	7.882721	-0.42936707
1443279557031557629	1.0980072	7.712967	-0.56036377
1443279557039949963	1.1951904	7.5995483	-1.0203705
1443279557048342297	1.0521088	7.5841217	-1.0880585
1443279557056734631	0.89811707	7.6313324	-0.8083496
1443279557065126965	0.7915497	7.7385254	-0.4075775
1443279557073519299	0.5478821	7.929764	-0.037963867
1443279557081911633	0.16619873	8.195694	0.38534546
1443279557090303967	-0.105895996	8.447174	0.9158783
1443279557098696301	-0.19558716	9.036789	1.3175964
1443279557107088635	-0.0036621094	9.5234375	1.1248169
1443279557115480969	0.6717682	9.701935	0.6723938
1443279557123873303	1.2847595	9.559891	0.3647766
1443279557132265637	1.7660828	9.410019	0.017852783
1443279557140657971	1.9679718	9.471115	-0.5211334
1443279557149050305	1.9902039	9.731125	-1.1818848
1443279557157442639	1.9483032	10.322861	-2.2307892
1443279557165834973	1.7066803	10.701569	-2.43042
1443279557174227307	1.5543823	10.673325	-2.0320435
1443279557182619641	1.728302	10.244415	-1.7096863
1443279557191011975	1.9268799	10.033798	-1.3960571
1443279557199404309	1.9284668	10.588074	-1.1285553
1443279557207796643	1.7785797	11.601135	-0.9288025
1443279557216188977	1.613739	12.909424	-0.4632721
1443279557224581311	1.5066376	13.470642	-0.002319336
1443279557232973645	0.939682	13.884476	0.030944824
1443279557241365979	0.7091675	13.94223	-0.04095459
1443279557249758313	0.7324219	13.960571	-0.02796936
1443279557258150647	1.0259552	14.079727	-0.036621094
1443279557266542981	1.4247742	14.276367	-0.23861694
1443279557274935315	2.0342255	14.407181	-0.9381561
1443279557283327649	2.1713104	14.184402	-1.3237305
1443279557291719983	1.5427551	13.572296	-1.3586884
1443279557300112317	1.4562683	13.423584	-1.1216888
1443279557308504651	1.4415741	13.753616	-1.3691101
1443279557316896985	1.4972382	14.288788	-2.043167
1443279557325289319	1.6083374	14.292007	-2.4006653
1443279557333681653	1.2483063	12.30542	-1.5505219
1443279557342073987	0.03593445	10.207123	-0.45809937
1443279557350466321	-1.8396454	8.92337	0.9193115
1443279557358858655	-3.1920166	9.552429	1.1493683
1443279557367250989	-5.0958557	11.554443	0.9566498
1443279557375643323	-6.974884	14.535599	0.7016144
1443279557384035657	-8.0963745	17.233597	0.6912384
1443279557392427991	-7.9922943	18.674652	0.94192505
1443279557400820324	-7.545044	17.879517	0.7988434
1443279557409212658	-6.0852356	15.19223	0.8420868
1443279557417604992	-4.5801544	13.264679	1.5361938
1443279557425997326	-2.7407684	11.791397	2.6549835
1443279557434389660	-1.0545502	11.188339	3.2656097
1443279557442781994	0.32809448	11.065445	2.904831
1443279557451174328	1.6248474	11.296402	1.2816162
1443279557459566662	1.9315796	11.484039	0.552475
1443279557467958996	1.6478271	11.252136	-0.1071167
1443279557476351330	1.2908478	10.576096	-0.2546997
1443279557484743664	1.0404816	9.600876	-0.20191956
1443279557493135998	1.047699	8.682465	-0.07606506
1443279557501528332	1.0836945	7.978424	-0.045135498
1443279557509920666	0.7071991	7.3301697	-0.18261719
1443279557518313000	0.104019165	6.6909943	-0.25715637
1443279557526705334	-0.23072815	5.9332886	-0.0927887
1443279557535097668	-0.3189392	5.707443	0.45783997
1443279557543490002	-0.39808655	5.6896057	1.1056671
1443279557551882336	-0.37028503	5.772339	1.3806763
1443279557560274670	-0.285614	5.81662	1.2939606
1443279557568667004	-0.31956482	5.8071747	0.991333
1443279557577059338	-0.5397644	5.7583313	0.9390564
1443279557585451672	-0.81111145	5.5388947	0.82572937
1443279557593844006	-0.8822632	5.241379	0.8463898
1443279557602236340	-1.0935364	4.7925262	0.8369751
1443279557610628674	-1.3576355	4.3202057	0.8390045
1443279557619021008	-1.6073303	3.7706146	1.0742645
1443279557627413342	-1.8308868	2.943451	1.7100983
1443279557635805676	-1.8351746	2.444809	1.7109375
1443279557644198010	-1.4663544	2.1120453	1.7589264
1443279557652590344	-1.0267181	1.9995422	1.884964
1443279557660982678	-0.47540283	1.8190613	2.146225
1443279557669375012	-0.07273865	1.5733337	2.4114838
1443279557677767346	0.22019958	1.358078	2.6332855
1443279557686159680	0.5406494	1.3877258	2.9072723
1443279557694552014	0.8405304	1.6996155	3.2542725
1443279557702944348	1.3330841	2.576767	4.068451
1443279557711336682	1.6695709	3.3578186	4.628998
1443279557719729016	2.0815277	4.4234467	5.154312
1443279557728121350	2.3659058	5.5979614	5.4547424
1443279557736513684	2.6042938	7.1229706	5.8101654
1443279557744906018	2.97023	9.707214	6.5538177
1443279557753298352	3.3652344	12.325653	7.2495575
1443279557761690686	4.1934204	17.198715	8.839157
1443279557770083020	5.0348053	20.468338	9.162186
1443279557778475354	4.822159	23.36528	8.3281555
1443279557786867688	4.1410522	23.416092	7.087158
1443279557795260022	3.736786	21.108032	6.0697784
1443279557803652356	3.6496124	16.540619	5.5355377
1443279557812044690	3.286316	13.020035	5.4978333
1443279557820437024	2.5172424	8.687622	5.924011
1443279557828829358	2.342453	6.342575	6.6677094
1443279557837221692	2.3402252	4.2760925	7.411682
1443279557845614026	2.1933289	3.6853027	7.7033997
1443279557854006360	2.0442963	3.9429169	7.6699677
1443279557862398694	2.1439667	4.862091	7.3366547
1443279557870791028	2.2870483	5.7711487	7.011078
1443279557879183362	0.6731415	8.805603	6.96521
1443279557887575696	-0.15281677	12.530106	5.851364
1443279557895968030	-1.4190369	18.32663	2.4566498
1443279557904360364	-3.4978943	23.408295	-2.035736
1443279557912752698	-5.5126953	26.347809	-5.7376556
1443279557921145032	-6.9401245	26.303253	-7.897644
1443279557929537366	-5.138855	18.318924	-1.8171997
1443279557937929699	-1.3091278	9.9509735	5.50235
1443279557946322033	-0.13101196	4.5435944	6.29747
1443279557954714367	-2.1109772	-0.87983704	3.7650452
1443279557963106701	-3.6061096	-3.450943	2.2051392
1443279557971499035	-4.3556213	-4.5955048	2.1074219
1443279557979891369	-5.1912537	-4.092636	2.3371582
1443279557988283703	-6.2148438	-2.3922882	1.4953613
1443279557996676037	-4.72316	0.6287842	-1.2206879
1443279558005068371	-2.1283264	5.11586	-5.009018
1443279558013460705	-0.046279907	9.526215	-7.7175446
1443279558021853039	1.0361023	14.191147	-8.221344
1443279558030245373	0.6973572	19.307114	-4.692749
1443279558038637707	-0.1577301	22.330826	-0.10105896
1443279558047030041	0.7563629	21.26413	1.0746613
1443279558055422375	2.5145416	17.864273	0.6171112
1443279558063814709	3.7413635	13.087006	1.5430756
1443279558072207043	3.2463837	9.70874	2.9380188
1443279558080599377	1.9833221	7.458481	3.5993347
1443279558088991711	0.7423706	6.2204742	2.5848083
1443279558097384045	0.19316101	5.780945	1.0160217
1443279558105776379	-0.26608276	5.434204	-0.83499146
1443279558114168713	-0.40145874	5.5335846	-1.4501648
1443279558122561047	-0.33692932	6.061554	-1.8313293
1443279558130953381	-0.049224854	6.918045	-1.8005676
1443279558139345715	0.5836029	7.9719086	-1.609726
1443279558147738049	1.6341248	8.993576	-1.371109
1443279558156130383	2.398468	9.489059	-1.215271
1443279558164522717	2.6757813	10.012238	-0.85476685
1443279558172915051	2.5070038	10.012238	-0.5351715
1443279558181307385	2.0725098	9.784485	-0.113586426
1443279558189699719	1.7059937	9.452866	0.1083374
1443279558198092053	1.3726044	9.092789	0.15359497
1443279558206484387	1.1372833	8.769897	-0.018218994
1443279558214876721	1.1311493	8.575607	-0.25598145
1443279558223269055	1.3714447	8.33461	-0.5544586
1443279558231661389	1.4442902	8.305481	-0.49620056
1443279558240053723	1.4950867	8.237656	-0.27488708
1443279558248446057	1.5218201	8.144333	-0.11729431
1443279558256838391	1.5835876	7.98024	-0.056854248
1443279558265230725	1.6762085	7.759903	-0.12501526
1443279558273623059	1.7094574	7.6287537	-0.23913574
1443279558282015393	1.4767761	7.762085	-0.39944458
1443279558290407727	1.2857208	8.049957	-0.39944458
1443279558298800061	1.0503845	8.525635	-0.2208252
1443279558307192395	0.9804077	8.877701	0.023422241
1443279558315584729	1.0039978	9.165894	0.28440857
1443279558323977063	1.1051788	9.262161	0.33963013
1443279558332369397	1.2186432	9.105423	0.09048462
1443279558340761731	1.307251	8.367004	-0.4716339
1443279558349154065	1.1838684	7.914627	-0.7286682
1443279558357546399	1.0107117	7.84079	-0.84669495
1443279558365938733	0.9436188	8.31041	-0.73461914
1443279558374331067	0.9429016	8.991013	-0.49067688
1443279558382723401	0.9242401	9.589874	-0.22245789
1443279558391115735	0.83148193	9.882462	-0.08729553
1443279558399508069	0.79426575	9.767319	-0.21138
1443279558407900403	0.79512024	9.662781	-0.6869049
1443279558416292737	0.9455261	10.051498	-1.1431885
1443279558424685071	1.1081696	10.628204	-1.2375793
1443279558433077405	1.348587	11.316956	-1.125061
1443279558441469739	1.5980072	11.953812	-0.850647
1443279558449862073	1.7471313	12.378174	-0.5610962
1443279558458254407	1.9866333	12.727051	-0.009277344
1443279558466646741	2.0577545	13.013229	0.4593811
1443279558475039074	2.1029053	13.452576	0.5102844
1443279558483431408	2.2566223	13.547119	0.12882996
1443279558491823742	2.6970215	13.5950775	-0.26361084
1443279558500216076	3.3563843	13.846725	-0.521286
1443279558508608410	3.8947296	14.230606	-0.8065796
1443279558517000744	4.248657	14.328323	-1.5697632
1443279558525393078	4.0670166	14.108139	-1.0248413
1443279558533785412	3.3506927	14.039688	0.03492737
1443279558542177746	2.886261	14.381348	-0.18363953
1443279558550570080	2.054779	14.586334	-0.8804779
1443279558558962414	0.6520386	13.817764	-1.4077148
1443279558567354748	-0.9318085	12.2712555	-1.4623566
1443279558575747082	-3.1486816	10.384735	-1.0965118
1443279558584139416	-4.4501953	10.231369	-0.8968811
1443279558592531750	-6.0319214	11.656525	-0.19148254
1443279558600924084	-7.291809	13.822205	0.1630249
1443279558609316418	-8.061295	16.10553	0.26834106
1443279558617708752	-7.7065887	17.002014	0.2786255
1443279558626101086	-6.61261	16.450897	0.5137634
1443279558634493420	-4.520874	14.744247	1.462738
1443279558642885754	-2.9332275	13.632141	2.1233215
1443279558651278088	-1.4642029	12.610123	2.7437897
1443279558659670422	-0.35794067	12.428253	2.618927
1443279558668062756	0.7708435	12.401093	2.1066284
1443279558676455090	1.546341	12.256958	1.5133972
1443279558684847424	1.7970276	11.871002	1.0285034
1443279558693239758	1.1122437	10.938568	0.37138367
1443279558701632092	0.63586426	9.983246	0.19059753
1443279558710024426	0.48083496	8.562958	0.4725952
1443279558718416760	0.5782318	7.676483	0.51168823
1443279558726809094	0.6567688	6.873535	0.64575195
1443279558735201428	0.50701904	6.4589844	0.6699524
1443279558743593762	0.10185242	6.302765	0.62965393
1443279558751986096	-0.5880585	6.1306458	0.9078369
1443279558760378430	-0.60346985	5.9927063	0.80758667
1443279558768770764	-0.5924225	5.903656	1.0040283
1443279558777163098	-0.5579376	5.892212	0.86616516
1443279558785555432	-0.59358215	5.8470917	0.74372864
1443279558793947766	-0.7287903	5.8075104	0.77404785
1443279558802340100	-0.8821411	5.8048553	0.9370117
1443279558810732434	-0.9737396	5.7917786	1.2947845
1443279558819124768	-0.96347046	5.644409	1.571518
1443279558827517102	-0.75720215	5.161026	1.6383972
1443279558835909436	-0.80599976	4.7553864	1.6825714
1443279558844301770	-0.83255005	4.1720734	1.7449951
1443279558852694104	-0.77285767	3.5306854	1.7490082
1443279558861086438	-0.69647217	2.94693	1.6668243
1443279558869478772	-0.62031555	2.4485168	1.5363617
1443279558877871106	-0.39926147	2.1606293	1.6391754
1443279558886263440	0.06323242	1.8669891	1.937439
1443279558894655774	0.34280396	1.7687683	2.3941345
1443279558903048108	0.705307	1.769577	2.9082031
1443279558911440442	1.0875244	2.0635223	3.369156
1443279558919832776	1.43573	2.630661	3.8620453
1443279558928225110	1.7362213	3.5812378	4.5697327
1443279558936617444	1.9701385	4.358368	5.1558075
1443279558945009778	2.2885132	5.6273804	5.9811554
1443279558953402112	2.5459747	6.828186	6.566925
1443279558961794446	2.9900055	8.803604	7.430008
1443279558970186780	3.727188	11.161087	8.305283
1443279558978579114	4.510269	13.773895	9.117706
1443279558986971448	4.8278503	16.917694	9.685379
1443279558995363782	4.41658	19.121368	9.536301
1443279559003756116	3.293457	20.595688	8.109421
1443279559012148449	2.675705	19.890533	7.2971954
1443279559020540783	2.2167206	17.823593	6.3328857
1443279559028933117	2.1207886	15.124756	5.707947
1443279559037325451	2.114441	12.277023	5.4330597
1443279559045717785	2.0491638	9.300522	5.548172
1443279559054110119	2.052597	7.4515533	5.72554
1443279559062502453	2.2962646	5.4569244	6.4551544
1443279559070894787	2.264557	4.6361237	7.4618835
1443279559079287121	2.1846313	4.308899	8.075195
1443279559087679455	1.767868	5.145294	7.524246
1443279559096071789	0.5916748	7.0840607	6.2708893
1443279559104464123	-2.0071259	10.272232	4.2140656
1443279559112856457	-4.489334	12.645615	1.9606476
1443279559121248791	-7.445816	15.733231	-0.6997528
1443279559129641125	-7.321579	17.602798	0.22131348
1443279559138033459	-5.3077087	18.397568	2.5310974
1443279559146425793	-3.095459	17.006317	3.40596
1443279559154818127	-1.6074066	13.860733	3.2734833
1443279559163210461	-1.2048798	9.283936	2.8795624
1443279559171602795	-1.2451477	6.3237	2.4117584
1443279559179995129	-0.9136658	3.4585266	1.1643677
1443279559188387463	-0.98905945	2.541748	-0.5886383
1443279559196779797	-1.980835	2.8881836	-3.9514313
1443279559205172131	-2.7462769	4.3579865	-6.152115
1443279559213564465	-2.7627106	6.117859	-6.735138
1443279559221956799	-1.7970886	8.109955	-5.5621643
1443279559230349133	-0.9549103	11.062958	-3.297821
1443279559238741467	-0.8650055	13.301651	-1.5404205
1443279559247133801	0.010635376	13.736053	-0.16955566
1443279559255526135	1.0903015	13.787399	0.7012329
1443279559263918469	2.0832977	13.419983	1.3196259
1443279559272310803	1.6742554	12.390091	1.7231445
1443279559280703137	-0.17304993	11.235001	1.6541595
1443279559289095471	-1.5928955	10.034821	1.3956146
1443279559297487805	-2.0551758	8.10054	1.0495453
1443279559305880139	-2.115158	7.181183	0.8798981
1443279559314272473	-2.1557922	6.526352	0.6263428
1443279559322664807	-1.9945831	6.5004883	0.34570313
1443279559331057141	-1.4959717	6.716675	0.033172607
1443279559339449475	-0.66316223	7.0533447	-0.27075195
1443279559347841809	-0.017654419	7.3608704	-0.48156738
1443279559356234143	0.59495544	7.687317	-0.5903778
1443279559364626477	1.2674255	8.187485	-0.62583923
1443279559373018811	1.724762	8.703201	-0.67840576
1443279559381411145	1.7471161	9.03035	-0.8436737
1443279559389803479	1.6921997	9.262436	-0.94140625
1443279559398195813	1.6630554	9.412384	-0.8917084
1443279559406588147	1.1983337	9.429489	-0.6229248
1443279559414980481	1.0098267	9.304382	-0.63920593
1443279559423372815	0.8040314	9.026474	-0.5809021
1443279559431765149	0.73124695	8.814819	-0.3840027
1443279559440157483	0.820755	8.6427	-0.18191528
1443279559448549817	1.0787201	8.476501	-0.066986084
1443279559456942151	1.2620697	8.359146	0.012069702
1443279559465334485	1.43219	8.243759	0.006210327
1443279559473726819	1.4681702	8.116089	0.0070648193
1443279559482119153	1.5697021	7.9354095	-0.054718018
1443279559490511487	1.6394958	7.83696	-0.18608093
1443279559498903821	1.5877075	7.907089	-0.23310852
1443279559507296155	1.3729095	8.259354	-0.15223694
1443279559515688489	1.1990814	8.6635895	-0.14620972
1443279559524080823	1.4433289	9.01329	-0.2912445
1443279559532473157	1.5650024	9.216339	-0.32380676
1443279559540865491	1.7766876	9.443634	-0.3345337
1443279559549257824	1.813324	9.683685	-0.18954468
1443279559557650158	1.776001	9.930496	-0.056121826
1443279559566042492	1.4041901	10.068405	0.1599884
1443279559574434826	0.6338501	10.047058	0.599411
