name,mean_LA(x),mean_LA(y),mean_LA(z),mean_GY(x),mean_GY(y),mean_GY(z),sd_LA(x),sd_LA(y),sd_LA(z),sd_GY(x),sd_GY(y),sd_GY(z)
1.0,0.38638155913250005,-0.3074564196355333,0.0863595995935,0.17361363770583332,0.09479203621275,0.10285222274738888,1.0876731214372461,0.8191872865510392,1.965811366389454,0.7515600942523757,1.078212746969194,0.8348073863117231
1.0,0.6162862241529166,-0.005281398578666672,-0.27571678425033336,-0.0465165962601389,-0.21113415520677775,0.20356823401530555,2.3644461494428266,2.7920341806682663,2.924015378577668,1.3230888042919773,1.5555308554875804,1.1465842752322786
1.0,0.74275842399,-0.029682050282500032,0.06475067226166666,0.06586112114544442,0.08963576088480554,-0.3596247690493333,4.267055359938684,3.059910612135579,4.778589177739872,2.5033157645095003,1.6822576796529058,0.832698922848217
1.0,0.5788098003131666,0.09236098433083334,-0.198498684265,-0.015073238307722173,0.20068398095123333,-0.2329268979638889,4.646757622555949,2.4796450700266264,5.152368152914691,2.4028567484334187,1.8189411634872303,0.810416601926859
1.0,0.8103198504463334,-0.22792019149250003,-0.03302200783333333,0.06275827317611114,0.10205108282227777,-0.4451375915695278,4.350163213299947,3.503676979731693,4.9153132712601,2.8511512973968167,1.5764650407304992,1.0011265252398038
1.0,0.8932002522072999,-0.39091276660375,-0.4317142143350834,-0.039611696526138926,0.29323382787008334,-0.37041710584502774,5.120028940074234,3.3000088403891383,5.787313977565821,3.0170234171097294,1.6668112884708026,1.0488302289144598
1.0,0.8404670122683333,-0.43109520102932,-0.12036463477749998,-0.01932053358244443,0.11080867424786109,-0.47921219058166664,5.153309865859142,2.91121372162234,6.712509209278283,3.2553984881923657,1.79129556031632,1.1078165863623264
1.0,0.8367956124493333,-0.32462667353166663,-0.050953131244999915,-0.1736182179676111,0.22888291636994437,-0.3410023864248889,5.468896107352195,2.931648961267821,6.524392143529029,3.1333303367457095,1.8222056258253818,1.22756650118098
1.0,1.1034067010191666,-0.6882053856275,-0.14434074240583333,0.009634197155944447,0.12612749804672777,-0.4866978740884167,6.161801847582782,3.037086957302783,7.936104300604341,3.5311911177559403,1.9097088847997332,1.2092840529180426
1.0,0.8703015684616666,-0.3389511660471667,-0.35999265329033336,0.006765461394500001,0.1791793055407611,-0.40642833216633334,5.625074804038867,3.278251539657534,6.674963168540109,2.979270428962357,1.7056739547614967,1.0967703360088743
1.0,0.7789106340528332,-0.6669778623431597,-0.36980094415966663,0.048505263208111084,0.2823632388463389,-0.34004072821183334,5.919029007513599,3.2792671672876255,6.968527165827551,2.8126736657210487,1.7137261008722802,1.0762536169328911
1.0,1.2055878176641666,-0.8504319530583333,-0.2819373679166667,0.012281891995277754,0.18765411052533332,-0.5092808961041945,6.243687045222417,3.3531949745037832,7.120136804309066,3.297187684996448,1.9308301646957138,1.2223371892443746
1.0,1.0231002718908333,-0.7020039569925,-0.3587183644966666,-0.07628869010788893,0.2126578276408333,-0.4318345003573889,5.85483923688502,3.0971375347661225,6.8883465552485985,3.1838542438863655,1.8154032932846245,1.1816473519759847
1.0,0.9212009023725,-0.8760103539741667,0.027928333045000003,0.09346777491694447,0.26095251653333335,-0.37424133284572225,6.38811397298117,3.352149955015627,7.4101210728055795,3.2765874895774614,1.888349058601024,1.2098508260320096
1.0,1.0717045015795,-0.6931836427616666,-0.4656734968474999,-0.0026280819197778034,0.18095518376208333,-0.48541725549586107,6.041021415589164,3.3408500955109486,7.254305107501745,3.101103047796866,1.816294779623168,1.152235972334904
1.0,1.0359752799585,-0.5748027676079167,-0.2851585977175,-0.0915199424496944,0.23221877303863891,-0.40344885833158334,5.825775406875349,3.002853652024117,7.263344639114437,3.19924949657335,1.9086561032618812,1.1633653814952098
1.0,0.814714826476,-0.887900078068,-0.3236541743594167,0.11577975611277777,0.16110226200992225,-0.40350706877119447,5.8848420147269165,2.811882163317334,7.290150406271327,3.1112201405180127,1.7635355552138232,1.1421906003612878
1.0,1.05562173447,-0.4200235295614833,-0.6027318832007501,0.05479429307480561,0.16802349174328332,-0.3469760982375,5.443947610360439,3.2138246926520675,6.8755332968521925,2.883981889557012,1.789284649018434,1.0860204401858997
1.0,0.7781109830025001,-0.6730682420185,-0.27798060480166664,0.03282938822966667,0.1557305791050833,-0.29141635454208337,5.598723481260951,3.230572101574807,6.464276671515156,2.5167847661048515,1.6721665052133623,1.0151132093940636
