gyroscope_timestamp	gyroscope_x_data	gyroscope_y_data	gyroscope_z_data
9657292971638	0.002131594	0.71731687	-0.29843837
9657302920368	0.35173035	0.81857234	-0.20144603
9657312930134	0.7460947	0.61073184	0.4338007
9657322939899	0.9656598	-0.43593284	1.3557607
9657332919147	1.2481099	-0.63418096	2.0208514
9657342898395	1.5710623	-0.185458	2.0485635
9657352908161	1.2395833	-0.23342155	1.8609738
9657362887409	0.72051424	-0.020251475	1.6541991
9657372927692	0.10445291	0.118309066	1.382407
9657382906940	-0.39543068	0.23128888	1.2033442
9657392886189	-0.56490093	0.29950362	1.1692369
9657402865437	-0.3613236	0.22063065	1.1479201
9657412905720	0.09699179	0.047962997	1.0743765
9657422884968	0.6832095	-0.12044146	1.0072278
9657432894733	1.3014024	-0.22276278	0.9368817
9657442904499	1.8865542	-0.29097724	0.82923084
9657452883747	2.3896353	-0.3378747	0.73223853
9657462893513	2.839424	-0.5009499	0.67574865
9657472872761	3.309464	-0.8025851	0.78339946
9657482852009	3.8104134	-1.0285459	1.0114915
9657492892292	4.187724	-1.1990817	1.1521834
9657502871540	4.3603916	-1.4047909	1.0583887
9657512881306	4.3337455	-1.5998412	0.9816473
9657522860554	4.1003246	-1.708558	1.0551913
9657532870319	3.8445208	-1.83646	1.1425906
9657542849567	3.728343	-1.8822913	1.1607102
9657552859333	3.9788177	-1.6456727	1.0050962
9657562869099	4.4264746	-1.1436572	0.9091696
9657572848347	4.883724	-0.59474456	0.99017423
9657582858112	5.1299357	-0.074609786	1.0765083
9657592867878	4.6449738	0.47430313	1.1223397
9657602877644	4.4723063	1.0829034	1.1511176
9657612887409	4.1738687	1.6787132	1.2267932
9657622866657	3.8946154	2.284116	1.1873565
9657632876423	3.5610046	2.8330293	1.0349398
9657642855671	3.2391179	3.1058867	0.8676017
9657652834919	2.8213043	3.2401836	0.9987011
9657662844685	2.4002938	3.2252614	1.3333782
9657672854450	2.0528266	3.0952282	1.6339476
9657682833698	1.8535128	2.7946582	1.8055497
9657692843464	1.8076813	2.384306	1.901476
9657702822712	1.9750195	1.9569001	1.8940148
9657712832478	2.312894	1.482597	1.8950812
9657722842243	2.603871	0.96885747	1.9590319
9657732821491	2.8564775	0.4231422	2.0037978
9657742831257	3.06645	0.020250943	1.8982786
9657752841022	3.146389	-0.17586558	1.5987744
9657762820271	3.0835037	-0.4689744	1.3770779
9657772830036	3.1613107	-0.71411973	1.3173904
9657782809284	3.44909	-0.8302972	1.2939415
9657792819050	3.53649	-1.3173909	1.2140027
9657802798298	3.2412496	-1.7895625	1.0136231
9657812808064	2.8287654	-1.5284294	1.0264132
9657822787312	2.1956506	-1.286481	1.134064
9657832827595	1.589182	-1.330181	1.176698
9657842806843	1.3184562	-1.2875473	1.0583887
9657852786091	1.1159444	-1.2640984	0.91449916
9657862795856	0.7663456	-1.5529436	0.8345604
9657872805622	0.45511746	-1.8748302	0.72158
9657882784870	0.39969334	-2.3150265	0.5553077
9657892794636	0.32934728	-2.3843067	0.5169369
9657902773884	-0.081005104	-2.3352778	0.59154665
9657912783649	-0.4700402	-2.516472	0.4700394
9657922762898	-0.9901748	-2.547382	0.4796321
9657932772663	-1.5604047	-2.841556	0.81857234
9657942751911	-1.6883065	-3.2199333	1.1649737
9657952761677	-1.3205884	-3.0611215	1.1308666
9657962771442	-1.0285459	-2.4312043	0.75248975
9657972781208	-1.1372625	-1.763982	0.37411287
9657982760456	-1.3003374	-1.3610908	0.12150646
9657992770222	-1.3035347	-1.2161351	0.004263188
9658002749470	-1.1564476	-1.1788301	0.08526776
9658012789753	-1.1329987	-1.1202086	0.27285737
9658022769001	-1.3770785	-1.1500523	0.46577623
9658032748249	-1.594512	-1.1990817	0.64377314
9658042758015	-1.6403434	-1.1329987	0.67681444
9658052767780	-1.6339481	-0.80045354	0.45192006
9658062747028	-1.6200925	-0.6853419	0.16520654
9658072756794	-1.5550756	-0.68321025	0.19824784
9658082766560	-1.2577031	-0.5766252	0.19505018
9658092745808	-1.2683617	-0.61499554	-0.1332313
9658102725056	-1.5998412	-0.76101744	-0.24301425
9658112734821	-1.8215377	-0.9645943	-0.13216549
9658122775104	-1.8503162	-1.0189531	0.0948602
9658132754353	-1.864172	-0.8814581	0.30696446
9658142733601	-1.842855	-0.7087907	0.551044
9658152712849	-1.7533236	-0.5851519	0.5020152
9658162753132	-1.7479943	-0.392233	0.41674688
9658172732380	-1.550812	-0.142824	0.39862755
9658182742146	-1.3493662	0.12470385	0.35173035
9658192751911	-1.2225302	0.123638056	0.26113307
9658202731159	-1.1681719	0.053291984	0.31016186
9658212740925	-1.202279	0.20890635	0.3837056
9658222750690	-1.3280494	0.2899109	0.27392316
9658232729938	-1.3674861	0.34959874	0.20037943
9658242709187	-1.393066	0.3783766	0.25793514
9658252718952	-1.0413357	0.38050818	0.52333194
9658262728718	-0.7247785	0.5595709	0.7983214
9658272707966	-0.80151933	0.90064275	0.80684835
9658282717731	-0.93261904	1.3259171	0.884655
9658292727497	-0.95073867	1.5422845	0.97844994
9658302706745	-0.76847804	1.6616596	0.95606685
9658313082722	-0.75781953	1.6861743	0.9187623
9658322726276	-1.1159452	1.6552649	0.8324285
9658332736042	-1.3312469	1.5977086	0.7908603
9658342715290	-1.7714431	1.6051698	0.7706094
9658352725056	-1.7746406	1.6563307	0.99337184
9658362704304	-1.8076822	1.6083671	0.9411454
9658372714069	-2.0027325	1.413317	0.57555866
9658382693317	-1.644607	1.2235953	0.5489124
